,hash,n,m,n_flips,method,runtime,cf,internal_time,avg_node_time,model_preparation_time,n_nodes,optimization_time,termination_condition
89,7779363,3,33,4,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.22666335105895996,1.0,0.02120518684387207,0.004241037368774414,0.18286561965942383,5,0.03503131866455078,optimality
90,417391,3,33,6,PhISCS_I_,0.23182201385498047,1.0,0.07071161270141602,,,,,
91,417391,3,33,6,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.22373032569885254,1.0,0.035622596740722656,0.005088942391531808,0.15965628623962402,7,0.051483869552612305,optimality
92,9048479,3,33,4,PhISCS_I_,0.252866268157959,1.0,0.06955885887145996,,,,,
93,9048479,3,33,4,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.20357966423034668,1.0,0.02062702178955078,0.004125404357910156,0.1588892936706543,5,0.03592252731323242,optimality
94,4978557,3,33,6,PhISCS_I_,0.2810537815093994,1.0,0.11876940727233887,,,,,
95,4978557,3,33,6,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.21643352508544922,1.0,0.03964042663574219,0.0049550533294677734,0.15565133094787598,8,0.04816722869873047,optimality
96,9232639,3,33,11,PhISCS_I_,0.6999878883361816,1.0,0.5124809741973877,,,,,
97,9232639,3,33,11,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.28243041038513184,1.0,0.10224390029907227,0.004445386969524881,0.15825295448303223,23,0.09364581108093262,optimality
98,8519104,3,33,8,PhISCS_I_,0.22815871238708496,1.0,0.06719613075256348,,,,,
99,8519104,3,33,8,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.2416684627532959,1.0,0.03314638137817383,0.0036829312642415366,0.18403315544128418,9,0.04113602638244629,optimality
100,6097544,3,33,9,PhISCS_I_,0.5817902088165283,1.0,0.41724348068237305,,,,,
101,6097544,3,33,8,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.24562740325927734,1.0,0.06135082244873047,0.004719294034517729,0.16026735305786133,13,0.06667685508728027,optimality
102,8375728,3,33,4,PhISCS_I_,0.25325489044189453,1.0,0.06702208518981934,,,,,
103,8375728,3,33,4,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.20768499374389648,1.0,0.023459434509277344,0.004691886901855469,0.15895652770996094,5,0.03980708122253418,optimality
104,6592581,3,33,5,PhISCS_I_,0.22842025756835938,1.0,0.06614255905151367,,,,,
105,6592581,3,33,5,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.22231173515319824,1.0,0.021489381790161133,0.003581563631693522,0.18097996711730957,6,0.03064441680908203,optimality
106,9469187,3,33,7,PhISCS_I_,0.25958871841430664,1.0,0.09752297401428223,,,,,
107,9469187,3,33,7,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.21742701530456543,1.0,0.03268265724182129,0.004085332155227661,0.1576070785522461,8,0.045232534408569336,optimality
108,7306392,3,33,8,PhISCS_I_,0.6208751201629639,1.0,0.4309108257293701,,,,,
109,7306392,3,33,8,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.35956573486328125,1.0,0.17438602447509766,0.004713135796624261,0.1603250503540039,37,0.15114641189575195,optimality
110,6312013,3,33,7,PhISCS_I_,0.33275532722473145,1.0,0.16831707954406738,,,,,
111,6312013,3,33,7,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.2637176513671875,1.0,0.0494537353515625,0.005494859483506944,0.1829366683959961,9,0.0661916732788086,optimality
112,9076090,3,33,7,PhISCS_I_,0.5599520206451416,1.0,0.3968987464904785,,,,,
113,9076090,3,33,7,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.24277138710021973,1.0,0.054566144943237305,0.004547178745269775,0.16025829315185547,12,0.0658864974975586,optimality
114,4247216,3,33,7,PhISCS_I_,0.3112466335296631,1.0,0.1464073657989502,,,,,
115,4247216,3,33,7,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.25054931640625,1.0,0.04430103302001953,0.005537629127502441,0.18067240715026855,8,0.05524897575378418,optimality
116,9098539,3,33,7,PhISCS_I_,0.22983479499816895,1.0,0.06723618507385254,,,,,
117,9098539,3,33,7,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.21355891227722168,1.0,0.029646635055541992,0.003705829381942749,0.15894269943237305,8,0.0399775505065918,optimality
118,7490120,3,33,5,PhISCS_I_,0.2557187080383301,1.0,0.06926155090332031,,,,,
119,7490120,3,33,5,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.21171140670776367,1.0,0.022450685501098633,0.003741780916849772,0.1604008674621582,6,0.040584564208984375,optimality
120,487184,3,33,8,PhISCS_I_,0.30208659172058105,1.0,0.13801240921020508,,,,,
121,487184,3,33,8,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.25911974906921387,1.0,0.04801225662231445,0.005334695180257161,0.18216323852539062,9,0.060233354568481445,optimality
122,4822225,3,33,7,PhISCS_I_,0.6137204170227051,1.0,0.4459676742553711,,,,,
123,4822225,3,33,7,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.24640464782714844,1.0,0.053977251052856445,0.004498104254404704,0.15935039520263672,12,0.06920313835144043,optimality
124,9446772,3,33,4,PhISCS_I_,0.27204298973083496,1.0,0.07051348686218262,,,,,
125,9446772,3,33,4,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.21277618408203125,1.0,0.018696308135986328,0.0037392616271972657,0.1657423973083496,5,0.038210153579711914,optimality
126,2104144,3,33,5,PhISCS_I_,0.23198390007019043,1.0,0.06864809989929199,,,,,
127,2104144,3,33,5,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.22987794876098633,1.0,0.019973278045654297,0.0033288796742757163,0.18113112449645996,6,0.03816723823547363,optimality
128,8754777,3,33,8,PhISCS_I_,0.3228130340576172,1.0,0.1596512794494629,,,,,
129,8754777,3,33,8,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.22882747650146484,1.0,0.04620003700256348,0.005133337444729275,0.15933823585510254,9,0.05273580551147461,optimality
130,3424335,3,33,8,PhISCS_I_,0.5796544551849365,1.0,0.3918020725250244,,,,,
131,3424335,3,33,8,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.23067545890808105,1.0,0.04721355438232422,0.004721355438232422,0.15943217277526855,10,0.05440998077392578,optimality
132,9933955,3,33,7,PhISCS_I_,0.3231058120727539,1.0,0.15880608558654785,,,,,
133,9933955,3,33,7,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.22931480407714844,1.0,0.0488734245300293,0.005430380503336589,0.1572272777557373,9,0.05561375617980957,optimality
134,6640702,3,33,6,PhISCS_I_,0.30901169776916504,1.0,0.12172436714172363,,,,,
135,6640702,3,33,6,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.2265017032623291,1.0,0.042283058166503906,0.00604043688092913,0.15841937065124512,7,0.05519556999206543,optimality
136,8363931,3,33,9,PhISCS_I_,0.34654998779296875,1.0,0.1826190948486328,,,,,
137,8363931,3,33,9,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.26995158195495605,1.0,0.058992862701416016,0.005362987518310547,0.18429136276245117,11,0.06495165824890137,optimality
138,2897224,3,33,7,PhISCS_I_,0.26967883110046387,1.0,0.10198020935058594,,,,,
139,2897224,3,33,7,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.21868157386779785,1.0,0.029261112213134766,0.0036576390266418457,0.15937066078186035,8,0.04482698440551758,optimality
140,5499856,3,33,7,PhISCS_I_,0.2921466827392578,1.0,0.10513973236083984,,,,,
141,5499856,3,33,7,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.23500895500183105,1.0,0.04599428176879883,0.0057492852210998535,0.1614537239074707,8,0.05883669853210449,optimality
142,2400946,3,33,7,PhISCS_I_,0.5197253227233887,1.0,0.3535318374633789,,,,,
143,2400946,3,33,7,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.2651956081390381,1.0,0.0473933219909668,0.003949443499247233,0.18531250953674316,12,0.06346869468688965,optimality
144,7044630,3,33,8,PhISCS_I_,0.5082752704620361,1.0,0.34520578384399414,,,,,
145,7044630,3,33,8,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.34728050231933594,1.0,0.15544581413269043,0.004201238219802444,0.16229605674743652,37,0.13731098175048828,optimality
146,5627858,3,33,10,PhISCS_I_,0.6571717262268066,1.0,0.4712991714477539,,,,,
147,5627858,3,33,10,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.2836320400238037,1.0,0.10081911087036133,0.004582686857743697,0.1585547924041748,22,0.09657931327819824,optimality
148,2877146,3,33,5,PhISCS_I_,0.2285768985748291,1.0,0.06548881530761719,,,,,
149,2877146,3,33,5,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.23715877532958984,1.0,0.02763819694519043,0.004606366157531738,0.18062829971313477,6,0.046036720275878906,optimality
150,7749222,3,33,8,PhISCS_I_,0.6066892147064209,1.0,0.44247889518737793,,,,,
151,7749222,3,33,8,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.23635506629943848,1.0,0.05145764350891113,0.005145764350891114,0.15775370597839355,10,0.061942100524902344,optimality
152,4212186,3,33,6,PhISCS_I_,0.2304537296295166,1.0,0.06789493560791016,,,,,
153,4212186,3,33,6,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.24200057983398438,1.0,0.02785634994506836,0.003979478563581195,0.18534564971923828,7,0.043847084045410156,optimality
154,5087078,3,33,7,PhISCS_I_,0.26728320121765137,1.0,0.1018075942993164,,,,,
155,5087078,3,33,7,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.2250380516052246,1.0,0.04119515419006348,0.005149394273757935,0.15805363655090332,8,0.05224132537841797,optimality
156,8789444,3,33,9,PhISCS_I_,0.4418630599975586,1.0,0.25396299362182617,,,,,
157,8789444,3,33,9,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.25060200691223145,1.0,0.06830191612243652,0.0048787082944597516,0.15848064422607422,14,0.07158589363098145,optimality
158,479973,3,33,5,PhISCS_I_,0.3115856647491455,1.0,0.14548325538635254,,,,,
159,479973,3,33,5,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.239729642868042,1.0,0.033091068267822266,0.005515178044637044,0.18135476112365723,6,0.04767656326293945,optimality
160,2919306,3,33,8,PhISCS_I_,0.23958325386047363,1.0,0.07038474082946777,,,,,
