hash,n,m,k,t,n_flips,runtime,file_name,internal_time,num_ones_noisy,num_zeros_noisy,Experiment_File  Name
127938,40,40,None,120,17,4.690050602,simNo_5-s_10-m_40-n_40-k_24.SC.noisy,1.289519787,471,1129,"cmp_algs_None,None,1_11-14-20-44-39.csv"
6948369,40,40,None,120,38,4.686212301,simNo_5-s_10-m_40-n_40-k_49.SC.noisy,1.296054125,446,1154,"cmp_algs_None,None,1_11-14-20-44-39.csv"
9467059,40,40,None,120,72,4.976803303,simNo_5-s_10-m_40-n_40-k_99.SC.noisy,1.570138931,396,1204,"cmp_algs_None,None,1_11-14-20-44-39.csv"
45360,80,40,None,120,94,11.205979109,simNo_5-s_10-m_40-n_80-k_117.SC.noisy,4.418736935,1054,2146,"cmp_algs_None,None,1_11-14-20-44-39.csv"
6830702,80,40,None,120,203,42.952570915,simNo_5-s_10-m_40-n_80-k_234.SC.noisy,36.234505415,937,2263,"cmp_algs_None,None,1_11-14-20-44-39.csv"
3391298,80,40,None,120,46,9.864860058,simNo_5-s_10-m_40-n_80-k_58.SC.noisy,3.136356354,1113,2087,"cmp_algs_None,None,1_11-14-20-44-39.csv"
6090867,20,80,None,120,4,10.092342854,simNo_5-s_10-m_80-n_20-k_15.SC.noisy,3.212961435,289,1311,"cmp_algs_None,None,1_11-14-20-44-39.csv"
3095867,20,80,None,120,16,27.945548773,simNo_5-s_10-m_80-n_20-k_30.SC.noisy,21.055831194,274,1326,"cmp_algs_None,None,1_11-14-20-44-39.csv"
6077321,20,80,None,120,28,37.155688524,simNo_5-s_10-m_80-n_20-k_60.SC.noisy,30.344878912,244,1356,"cmp_algs_None,None,1_11-14-20-44-39.csv"
9174063,40,80,None,120,5,21.092362404,simNo_5-s_10-m_80-n_40-k_16.SC.noisy,7.498511553,304,2896,"cmp_algs_None,None,1_11-14-20-44-39.csv"
9246912,40,80,None,120,15,20.990737438,simNo_5-s_10-m_80-n_40-k_32.SC.noisy,7.379206657,288,2912,"cmp_algs_None,None,1_11-14-20-44-39.csv"
3400944,40,80,None,120,22,20.869401693,simNo_5-s_10-m_80-n_40-k_64.SC.noisy,7.409211636,256,2944,"cmp_algs_None,None,1_11-14-20-44-39.csv"
8055349,80,80,None,120,30,48.540490150,simNo_5-s_10-m_80-n_80-k_46.SC.noisy,21.627892256,877,5523,"cmp_algs_None,None,1_11-14-20-44-39.csv"
1363810,80,80,None,120,61,90.476960421,simNo_5-s_10-m_80-n_80-k_92.SC.noisy,63.773133755,831,5569,"cmp_algs_None,None,1_11-14-20-44-39.csv"
7309072,20,20,None,120,8,0.546486378,simNo_6-s_10-m_20-n_20-k_15.SC.noisy,0.128669739,61,339,"cmp_algs_None,None,1_11-14-20-44-39.csv"
