,hash,n,m,nf,method,runtime,cf,internalTime,avgNodeTime,modelPreperationTime,nNodes,optimizationTime,terminationCond
145,4333070,4,25,12,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,2.0032477378845215,1.0,1.867586374282837,0.022775443588815083,0.14230799674987793,82,1.746178150177002,optimality
146,4333070,4,25,12,BnB_DynamicMWMBounding_None_False,9.196972131729126,1.0,9.189762830734253,0.012486090802628061,,736,,optimality
147,264282,4,25,17,PhISCS_I_,0.5744984149932861,1.0,0.3988826274871826,,,,,
148,264282,4,25,17,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,2.8662593364715576,1.0,2.730539083480835,0.01978651509768721,0.14750266075134277,138,2.5628890991210938,optimality
149,264282,4,25,19,BnB_DynamicMWMBounding_None_False,60.02112531661987,1.0,60.013261795043945,0.018098088599229175,,3316,,time_limit
150,7768805,4,25,9,PhISCS_I_,0.232680082321167,1.0,0.09373927116394043,,,,,
151,7768805,4,25,9,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.42644381523132324,1.0,0.29030871391296387,0.026391701264814896,0.1192617416381836,11,0.28739070892333984,optimality
152,7768805,4,25,9,BnB_DynamicMWMBounding_None_False,0.5891656875610352,1.0,0.582244873046875,0.01078231246383102,,54,,optimality
153,2714000,4,25,12,PhISCS_I_,0.1947495937347412,1.0,0.06537508964538574,,,,,
154,2714000,4,25,12,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.6237366199493408,1.0,0.4366297721862793,0.033586905552790716,0.16431117057800293,13,0.43410372734069824,optimality
155,2714000,4,25,12,BnB_DynamicMWMBounding_None_False,4.511002540588379,1.0,4.503474473953247,0.012978312605052585,,347,,optimality
156,9590275,4,25,17,PhISCS_I_,0.5303575992584229,1.0,0.39888572692871094,,,,,
157,9590275,4,25,17,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,2.211545944213867,1.0,2.069692373275757,0.020905983568441987,0.1450331211090088,99,1.9535608291625977,optimality
158,9590275,4,25,17,BnB_DynamicMWMBounding_None_False,27.568528175354004,1.0,27.56072998046875,0.014986802599493611,,1839,,optimality
159,325381,4,25,12,PhISCS_I_,0.5446584224700928,1.0,0.4113607406616211,,,,,
160,325381,4,25,12,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,2.5755136013031006,1.0,2.442216634750366,0.016842873343105975,0.14959120750427246,145,2.2600862979888916,optimality
161,325381,4,25,12,BnB_DynamicMWMBounding_None_False,5.467622995376587,1.0,5.460860013961792,0.011643624763244759,,469,,optimality
162,4418422,4,25,14,PhISCS_I_,0.25945401191711426,1.0,0.09183692932128906,,,,,
163,4418422,4,25,14,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.591498613357544,1.0,0.4568595886230469,0.02855372428894043,0.12123250961303711,16,0.4406771659851074,optimality
164,4418422,4,25,14,BnB_DynamicMWMBounding_None_False,10.344327449798584,1.0,10.336906671524048,0.014140775200443293,,731,,optimality
165,5189193,4,25,10,PhISCS_I_,0.4312422275543213,1.0,0.30231785774230957,,,,,
166,5189193,4,25,10,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.5084202289581299,1.0,0.3422234058380127,0.02281489372253418,0.15179014205932617,15,0.3336906433105469,optimality
