,hash,n,m,n_flips,method,runtime,cf,internal_time
1551,9372976,14,16,66,PhISCS_I_,1.0600669384002686,1.0,0.8499739170074463
1552,689520,14,16,69,PhISCS_I_,1.2840094566345215,1.0,1.0808265209197998
1553,1118107,14,16,74,PhISCS_I_,0.8905994892120361,1.0,0.6436774730682373
1554,2204991,14,16,64,PhISCS_I_,0.9582984447479248,1.0,0.73028564453125
1555,2293652,14,16,63,PhISCS_I_,0.6250429153442383,1.0,0.42604708671569824
1556,4721761,14,16,72,PhISCS_I_,0.8241415023803711,1.0,0.6243212223052979
1557,3693460,14,16,73,PhISCS_I_,1.433800220489502,1.0,1.1888821125030518
1558,1421361,14,16,67,PhISCS_I_,0.7455027103424072,1.0,0.5215520858764648
1559,7606088,14,16,82,PhISCS_I_,1.6903810501098633,1.0,1.4920878410339355
1560,7615751,14,17,77,PhISCS_I_,1.484046459197998,1.0,1.2398948669433594
1561,4019342,14,17,69,PhISCS_I_,1.198960781097412,1.0,0.9415321350097656
1562,4371169,14,17,80,PhISCS_I_,1.4104220867156982,1.0,1.1339788436889648
1563,8695552,14,17,84,PhISCS_I_,1.8747787475585938,1.0,1.6352808475494385
1564,7032874,14,17,73,PhISCS_I_,1.6529135704040527,1.0,1.3438639640808105
1565,3913353,14,17,75,PhISCS_I_,1.00099778175354,1.0,0.7781510353088379
1566,5805418,14,17,63,PhISCS_I_,0.8353841304779053,1.0,0.5952110290527344
1567,7409037,14,17,77,PhISCS_I_,1.688910961151123,1.0,1.4360260963439941
1568,1974547,14,17,74,PhISCS_I_,0.9427754878997803,1.0,0.6697001457214355
1569,4696002,14,17,74,PhISCS_I_,1.5236172676086426,1.0,1.2979540824890137
1570,9972172,14,18,81,PhISCS_I_,1.5024774074554443,1.0,1.2479920387268066
1571,4600515,14,18,84,PhISCS_I_,2.5195529460906982,1.0,2.238164186477661
1572,1872621,14,18,80,PhISCS_I_,1.1515612602233887,1.0,0.8787641525268555
1573,7852086,14,18,79,PhISCS_I_,1.8656599521636963,1.0,1.6020689010620117
